Year,Month,Country,Institute,Longitude,Latitude,Journal,Title,Species,Functional group,Category
2019,December,Italy,University of Siena,11.333,43.3192,Environmental Research Letters,Microplastics increase the marine production of particulate forms of organic matter,microbes,Bacteria,Organism
2019,December,Ireland,University Coll Cork,-8.493754,51.892855,Sustainability,"Towards a Circular Economy: Using Stakeholder Subjectivity to Identify Priorities, Consensus, and Conflict in the Irish EPS/XPS Market",none,Policy,Policy
2019,December,Ireland,Queens University Belfast,-5.934317,54.584378,Integrative and Comparative Biology,Environmentally Accurate Microplastic Levels and Their Absence from Exposure Studies,none,Review,Review
2019,December,Italy,University of Genoa,8.92675,44.414877,Journal of Marine Science and Engineering ,Sea Waves Transport of Inertial Micro-Plastics: Mathematical Model and Applications,none,Water,Environment
2019,December,Australia,James Cook University,146.7565,-19.3277,Diversity-Basel,Microplastic Contamination Has Limited Effects on Coral Fertilisation and Larvae,Acropora tenuis,Zooplank,Organism
2019,December,Italy,COISPA Tecnol & Ric,17.001863,41.088646,Scientia Marina,Spatial distribution of marine macro-litter on the seafloor in the northern Mediterranean Sea: the MEDITS initiative,none,Sediment,Environment
2019,December,Turkey,Istanbul University Cerrahpasa,28.728157,40.987734,Desalination and Water Treatment,"Determination of microplastics and large plastics in the sediments of the Golden Horn Estuary (Halic), Istanbul, Turkey",none,Sediment,Environment
2019,December,Turkey,Istanbul University Cerrahpasa,28.728157,40.987734,Desalination and Water Treatment,"Microplastic pollution in the Black Sea Coast of the Anatolian side of Istanbul, Turkey",none,Sediment,Environment
2019,December,Argentina,Universidad Nacional de las Artes,-62.23442,-38.665938,Journal of Ethnobiology,Fishers' Ecological Knowledge about Marine Pollution: What Can FEK Contribute to Ecological and Conservation Studies of a Southwestern Atlantic Estuary?,none,Policy,Policy
2019,December,Spain,Oceanographic Centre of Vigo,-8.813232,42.183844,Scientia Marina ,Microplastics in wild mussels (Mytilus spp.) from the north coast of Spain,Mytilus galloprovincialis,Invert,Organism
2019,December,Saudi Arabia,King Abdullah University of Science and Technology,39.1047,22.3095,Environmental Chemistry,Microplastics in sediments and fish from the Red Sea coast at Jeddah (Saudi Arabia),Multiple,Multiple Animals,Organism
2019,December,Spain,University A Coruna,-8.407955,43.326696,Marine Pollution Bulletin,A low-cost system to simulate environmental microplastic weathering,none,Chemical,Chemical
2019,December,Brazil,University Fed Fluminense,-43.133531,-22.905911,Marine Pollution Bulletin,The impact of sediment dumping sites on the concentrations of microplastic in the inner continental shelf of Rio de Janeiro/Brazil,none,Sediment,Environment
2019,December,China,University of Hong Kong,114.13731,22.283255,Marine Pollution Bulletin ,Evidence for non-selective ingestion of microplastic in demersal fish,Multiple,Multiple Animals,Organism
2019,December,China,Wuhan University of Technology ,114.342404,30.598647,Marine Pollution Bulletin ,Sorption of tri-n-butyl phosphate and tris(2-chloroethyl) phosphate on polyethylene and polyvinyl chloride microplastics in seawater,none,Chemical,Chemical
2019,December,Ireland,Galway Mayo Institute of Technology,-9.0107,53.2775,Marine Pollution Bulletin ,"Low levels of microplastics recorded from the common periwinkle, Littorina littorea on the west coast of Ireland",Littorina littorea ,Invert,Organism
2019,December,Iran,Kharazmi University ,51.426697,35.703702,Marine Pollution Bulletin ,"Composition and abundance of microplastics in surface sediments and their interaction with sedimentary heavy metals, PAHs and TPH (total petroleum hydrocarbons)",none,Sediment,Environment
2019,December,Spain,University of Barcelona,2.1641,41.3866,Marine Pollution Bulletin ,Boops boops as a bioindicator of microplastic pollution along the Spanish Catalan coast,Boops boops ,Small vert,Organism
2019,December,Germany,Leibniz Institute for Baltic Sea Research,12.081367,54.179927,Marine Pollution Bulletin ,Cost-effective monitoring of large micro- and meso-litter in tidal and flood accumulation zones at south-western Baltic Sea beaches,none,Sediment,Environment
2019,December,Philippines,University of Science and Technology of Southern Philippines,124.656564,8.485545,Marine Pollution Bulletin ,"Occurrence of surface sand microplastic and litter in Macajalar Bay, Philippines",none,Sediment,Environment
2019,December,Japan,University of Tokyo,139.762099,35.712747,Marine Pollution Bulletin ,Size-dependent elimination of ingested microplastics in the Mediterranean mussel Mytilus galloprovincialis,Mytilus galloprovincialis,Invert,Organism
2019,December,Poland,Polish Academy of Sciences,18.563665,54.450681,Marine Pollution Bulletin ,"Offshore surface waters of Antarctica are free of microplastics, as revealed by a circum-Antarctic study",none,Multiple Environments,Environment
2019,December,South Korea,Korea Marine Litter Institute,128.4332,34.8544,Marine Pollution Bulletin ,Rapid assessment of marine debris in coastal areas using a visual scoring indicator,none,Policy,Policy
2019,December,Indonesia,Institut Teknologi Sepuluh Nopember,112.794977,-7.281547,Marine Pollution Bulletin ,The impact of improper solid waste management to plastic pollution in Indonesian coast and marine environment,none,Waste Water,Environment
2019,December,Italy,European Commision Joint Research Centre,8.6121,45.814,Marine Pollution Bulletin ,Surface water circulation develops seasonally changing patterns of floating litter accumulation in the Mediterranean Sea. A modelling approach,none,Water,Environment
2019,December,India,National Centre For Polar And Ocean Research,73.793302,15.396695,Marine Pollution Bulletin ,"Microplastics in ballast water as an emerging source and vector for harmful chemicals, antibiotics, metals, bacterial pathogens and HAB species: A potential risk to the marine environment and human health",none,Water,Environment
2019,December,Italy,Parthenope University Naples,14.2535,40.8374,Marine Pollution Bulletin ,The issue of microplastics in marine ecosystems: A bibliometric network analysis,none,Policy,Policy
2019,December,Argentina,Universidad Nacional de las Artes,-62.234406,-38.665964,Marine Pollution Bulletin ,Synthetic microfibers in marine sediments and surface seawater from the Argentinean continental shelf and a Marine Protected Area,none,Multiple Environments,Environment
2019,December,Finland,University of Turku,22.28504,60.456208,Marine Pollution Bulletin ,Low abundance of floating marine debris in the northern Baltic Sea,none,Water,Environment
2019,December,Australia,University of Sydney,151.187028,-33.888435,Marine Pollution Bulletin ,Microplastics detected in haemolymph of the Sydney rock oyster Saccostrea glomerata,Saccostrea glomerata,Invert,Organism
2019,December,China,Tianjin University,117.176258,39.109873,Marine Pollution Bulletin ,"Effects of microplastics and attached heavy metals on growth, immunity, and heavy metal accumulation in the yellow seahorse, Hippocampus kuda Bleeker",Hippocampus kuda Bleeker,Invert,Organism
2019,December,Indonesia,Raja Ali Haji Maritime University,104.475744,0.870389,Marine Pollution Bulletin ,"Daily apportionment of stranded plastic debris in the Bintan Coastal area, Indonesia",none,Water,Environment
2019,December,Taiwan,National Sun Yat-sen University,120.265011,22.628476,Marine Pollution Bulletin ,Morphology and chemical properties of polypropylene pellets degraded in simulated terrestrial and marine environments,none,Chemical,Chemical
2019,December,Greece,University of Patras,21.785402,38.289167,Marine Pollution Bulletin ,"Characteristics of microplastics on two beaches affected by different land uses in Salamina Island in Saronikos Gulf, east Mediterranean",none,Sediment,Environment
2019,December,Portugal,Universidade do Algarve,-7.973246,37.043231,Marine Pollution Bulletin ,A baseline assessment of beach macrolitter and microplastics along northeastern Atlantic shores,none,Sediment,Environment
2019,December,New Zealand,University of Canterbury,172.579478,-43.522645,Marine Pollution Bulletin ,Microplastics in the New Zealand green lipped mussel Perna canaliculus,Perna canaliculus,Invert,Organism
2019,December,China,Wenzhou Med University,120.712003,27.925077,Marine Pollution Bulletin ,Micro- and macroplastic accumulation in a newly formed Spartina alterniflora colonized estuarine saltmarsh in southeast China,Spartina alterniflora ,Macroalgae,Organism
2019,December,China,Shanghai Polytech University,121.652272,31.263624,Marine Pollution Bulletin ,Microplastics in the surface water of small-scale estuaries in Shan,none,Water,Environment
2019,December,China,Chinese Academy of Sciences,116.3833,39.916666,Marine Pollution Bulletin ,Plastic debris in marine birds from an island located in the South China Sea,Multiple,Large vert,Organism
